left_id;Merek Dagang;Alamat Pu;No Daftar;Tgl Daftar;No Sert;Tgl Sert;Tgl Valid;right_id;Name;Address;Website;Plus_Code;Rating;Reviews;URL;jaccard;label
1411;mixue ice cream tea lontar;raya lontar 309 lontar sambikerep 60216;;;ID00410001326911122;;;3292;mixue ice cream tea lontar;raya lontar 309 lontar sambikerep 60216;;PM86+RC Lontar, Surabaya City, East Java;4.3;34;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Lontar/@-7.2828791,112.5910828,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fd482bb20381:0xc352021780031fba!8m2!3d-7.2828791!4d112.6611206!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11tf89540s?hl=en;1;1
186;bandeng juwana;ngagel jaya utara 103 1 baratajaya gubeng 60284;SH2022-1-026832;29 June, 2022, 00:00;ID35110000409590622;1 July, 2022, 00:00;1 July, 2026, 00:00;3222;bandeng juwana;ngagel jaya utara 103 1 baratajaya gubeng 60284;http://www.bandengjuwana.id/;PQ65+CJ Baratajaya, Surabaya City, East Java;4.6;147;https://www.google.com/maps/place/BANDENG+JUWANA/@-7.28895,112.6890432,12z/data=!4m10!1m2!2m1!1sBandeng+Juwana!3m6!1s0x2dd7fbb42e6a0b73:0xd67664961e3ddfaa!8m2!3d-7.28895!4d112.759081!15sCg5CYW5kZW5nIEp1d2FuYSIDiAEBWhAiDmJhbmRlbmcganV3YW5hkgEFc3RvcmXgAQA!16s%2Fg%2F1tsq8649?hl=en;1;1
1409;mixue ice cream tea petemon;petemon bar 127 rt 001 rw 02 kupang krajan sawahan 60253;;;ID00410001326911122;;;3296;mixue ice cream tea petemon;petemon bar 127 rt 001 rw 02 kupang krajan sawahan 60253;;PPJ9+VM Kupang Krajan, Surabaya City, East Java;4.4;85;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Petemon/@-7.2788329,112.6957981,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7f95864d6e975:0x842479856c480cf0!8m2!3d-7.267849!4d112.7191796!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11s8pkfbtc?hl=en;1;1
1399;mixue ice cream tea bratang;bratang gede 138 ngagelrejo wonokromo 60245;;;ID00410001326911122;;;3306;mixue ice cream tea bratang;bratang gede 138 ngagelrejo wonokromo 60245;;PQ24+G5 Ngagelrejo, Surabaya City, East Java;3.8;16;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Bratang/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb116ac4c20d:0xef3814910f29bbb5!8m2!3d-7.2986879!4d112.7554811!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11jzpjyxf6?hl=en;1;1
1187;spikoe resep kuno;rungkut madya 41 rungkut kidul rungkut 60293;35-3-0421-1060;8 April, 2021, 00:00;ID35310000189080421;25 November, 2021, 00:00;25 November, 2025, 00:00;3252;spikoe resep kuno;rungkut madya 41 rungkut kidul rungkut 60293;https://spikoeresepkuno.com/shop/;MQ9F+HP Rungkut Kidul, Surabaya City, East Java;4.6;4,648;https://www.google.com/maps/place/Spikoe+Resep+Kuno/@-7.3311105,112.7742819,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fadb24005907:0x6675f4281aed51c0!8m2!3d-7.3311105!4d112.7742819!16s%2Fg%2F1pzttlhws?hl=en;1;1
1383;mixue ice cream tea karimun jawa;karimun jawa 5b gubeng gubeng 60281;;;ID00410001326911122;;;3323;mixue ice cream tea karimun jawa;karimun jawa 5b gubeng gubeng 60281;;PPGW+M5 Gubeng, Surabaya City, East Java;4.7;155;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Karimun+Jawa/@-7.2732674,112.6753936,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb0dd2b01a1b:0x4a51dac8a52012fd!8m2!3d-7.2732674!4d112.7454314!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11t177xm9d?hl=en;1;1
1393;mixue ice cream tea pandegiling;pandegiling 117 a dr soetomo tegalsari 60264;;;ID00410001326911122;;;3313;mixue ice cream tea pandegiling;pandegiling 117 a dr soetomo tegalsari 60264;;PPFP+G4 DR. Soetomo, Surabaya City, East Java;4;69;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Pandegiling/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fbe0c53b2af3:0x7d5a67b27942795c!8m2!3d-7.2761599!4d112.735272!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBEGJ1YmJsZV90ZWFfc3RvcmXgAQA!16s%2Fg%2F11s794ny_0?hl=en;1;1
1386;mixue ice cream tea karang menjangan;karang menjangan 117c mojo gubeng 60286;;;ID00410001326911122;;;3320;mixue ice cream tea karang menjangan;karang menjangan 117c mojo gubeng 60286;;PQG6+WM Mojo, Surabaya City, East Java;4.9;128;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Karang+Menjangan/@-7.2732674,112.6753936,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb2e1bf5eca1:0xa1314f61ae0c496b!8m2!3d-7.2726837!4d112.7616894!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11s8xgvzg1?hl=en;1;1
1408;mixue ice cream tea dukuh kupang;dukuh kupang xxv 49 dukuh kupang dukuhpakis 60225;;;ID00410001326911122;;;3297;mixue ice cream tea dukuh kupang;dukuh kupang xxv 49 dukuh kupang dukuhpakis 60225;https://www.instagram.com/mixuedk/;PP87+G4 Dukuh Kupang, Surabaya City, East Java;4.4;82;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Dukuh+Kupang/@-7.2788329,112.6957981,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fd6bc606c04d:0x54a16feb7aee595!8m2!3d-7.2837127!4d112.7128185!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11t8b4_48n?hl=en;1;1
1396;mixue ice cream tea sukomanunggal;sukomanunggal b 254 tanjungsari sukomanunggal 60187;;;ID00410001326911122;;;3309;mixue ice cream tea sukomanunggal;sukomanunggal b 254 tanjungsari sukomanunggal 60187;;PMQV+M3 Tanjungsari, Surabaya City, East Java;4.5;33;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Sukomanunggal/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fffb41f24cef:0x3ced60550bd431dd!8m2!3d-7.2607836!4d112.6927362!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBEGJ1YmJsZV90ZWFfc3RvcmXgAQA!16s%2Fg%2F11tk47ncpc?hl=en;1;1
1358;bakso boedjangan manyar surabaya;raya manyar 85 menur pumpungan sukolilo 60118;;;ID00410001326911122;;31 March, 2022, 00:00;3099;bakso boedjangan manyar surabaya;raya manyar 85 menur pumpungan sukolilo 60118;https://instagram.com/baksoboedjangan_manyar?utm_medium=copy_link;PQ26+MW Menur Pumpungan, Surabaya City, East Java;4.2;4,129;https://www.google.com/maps/place/Bakso+Boedjangan+Manyar+Surabaya/@-7.2909429,112.7346665,16z/data=!4m10!1m2!2m1!1sbakso+boedjangan+surabaya!3m6!1s0x2dd7fbad28d21577:0xc1b39e2021cc81ae!8m2!3d-7.2983186!4d112.7622505!15sChliYWtzbyBib2VkamFuZ2FuIHN1cmFiYXlhIgOIAQGSARBiYWtzb19yZXN0YXVyYW504AEA!16s%2Fg%2F11f_p2l0jg?hl=en;1;1
1390;mixue ice cream tea semolowaru;nginden semolo 20 nginden jangkungan sukolilo 60118;;;ID00410001326911122;;;3316;mixue ice cream tea semolowaru;nginden semolo 20 nginden jangkungan sukolilo 60118;https://www.instagram.com/mixue.semolowaru/;PQ27+3J Ngenden Jangkungan, Surabaya City, East Java;4.3;233;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Semolowaru/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb8c65353023:0x479575c7dcaa7ee4!8m2!3d-7.2997518!4d112.7640878!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11t2rz588t?hl=en;1;1
1249;kopi kenangan royal plaza surabaya;royal plaza lg ahmad yani 16 18 wonokromo wonokromo 60231;;;;;6 October, 2022, 00:00;3074;kopi kenangan royal plaza surabaya;royal plaza lg ahmad yani 16 18 wonokromo wonokromo 60231;http://www.kopikenangan.com/;MPRM+6Q Wonokromo, Surabaya City, East Java;4.3;25;https://www.google.com/maps/place/Kopi+Kenangan+-+Royal+Plaza+Surabaya/@-7.3506092,112.6375535,12z/data=!4m10!1m2!2m1!1skopi+kenangan+surabaya!3m6!1s0x2dd7fbc92d058461:0x89d81f1f08a76d3d!8m2!3d-7.3094214!4d112.7344487!15sChZrb3BpIGtlbmFuZ2FuIHN1cmFiYXlhIgOIAQFaGCIWa29waSBrZW5hbmdhbiBzdXJhYmF5YZIBC2NvZmZlZV9zaG9w4AEA!16s%2Fg%2F11h9h5bmfb?hl=en;1;1
