Nama Pu,Alamat Pu,Kota Pu,Prov Pu,Kode Pos Pu,Nama Jenis Produk,Merek Dagang,Jml Produk,No Daftar,Tgl Daftar,No Sert,Tgl Sert,Tgl Valid,Nama Produk
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00",Baby Burger
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Bigmac / Reguler
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger Biru
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger Coklat
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger Hitam
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger Hjau
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger Kuning
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger KW 2
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger Merah
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger Onion
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Burger Ungu
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Cone Pizza
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", French Bread
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger Biru
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger Coklat
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger Hijau
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger Hitam
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger Kuning
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger KW 2
