id,left_id,left_nama,left_alamat,right_id,right_nama,right_alamat,jaccard,label
296,630,joglo,genteng butulan 4 rt rw genteng genteng,1991,uena tenan catering,demak 22 bubutan gundih rt rw 006 008 gundih bubutan 60173,0.083333333,0
80,946,nita cake cookies,lakarsantri iiia 5 lakarsantri lakarsantri 60211,3226,nita cake cookies,lakarsantri 3 a 5 lakarsantri lakarsantri 60211,0.75,1
238,704,pt wonglokat international,kalianyar 17h kapasari genteng 60273,2085,pusat jajanan rakyat murah,pppx 263 embong kaliasin genteng city 60271,0.045454545,0
289,894,mom ima,bubutan rt rw alun alun contong bubutan,2075,teh cap poci pusat grosir surabaya,pusat grosir lantai 4 foodcourt dupak raya gundih bubutan 60172,0.035714286,0
120,1351,solaria grand city surabaya,grand city mall kusuma bangsa ketabang genteng 60272,3175,solaria,grand city mall kusuma bangsa ketabang genteng 60272,0.625,1
202,749,kremuzz,mojoklanggru lor 56 c mojo gubeng,2287,libreria eatery,ngagel jaya 89 pucang sewu gubeng 60283,0.041666667,0
101,1392,mixue ice cream tea klampis,klampis jaya 25c klampis ngasem sukolilo 60116,3314,mixue klampis,klampis jaya 25c klampis ngasem sukolilo 60116,0.7,1
93,1407,mixue ice cream tea margorejo,margorejo indah 8 jemur wonosari wonocolo 60238,3298,mixue margorejo,margorejo indah 8 jemur wonosari wonocolo 60238,0.7,1
63,291,carpentier kitchen,untung suropati 83 dr soetomo tegalsari,1634,carpentier kitchen,untung suropati 83 tegalsari 60264,0.785714286,1
268,1415,mixue ice cream tea kapasan,kapasan 210b sidodadi simokerto 60141,3328,mixue merr,dr ir h soekarno 416 a kedung baruk rungkut 60298,0.083333333,0
239,260,burger up,dharmahusada indah timur rr 22 mulyorejo 60115,2932,es teller 77,galaxy mall dharma husada 35 37 mulyorejo mulyorejo 60115,0.076923077,0
258,195,bebek goreng dan ayam kampung 55 surabaya,bendul merisi besar timur 1 a bendul merisi wonocolo 60239,2777,warung bu subur,kapas gading madya 1 23 gading tambaksari 60134,0.035714286,0
240,1371,roti o kazacity surabaya,kaza city kapas krampung tambakrejo simokerto 60133,1491,kuliner surabaya depot pojok pucang,pucangan gang 8 10 pucang gubeng 60283,0.0625,0
51,1416,mixue ice cream tea wiyung,raya wiyung babatan wiyung 60227,3285,mixue ice cream tea wiyung,mmqj qvq raya wiyung babatan wiyung 60227,0.833333333,1
34,99,the dapoer 31,perumahan griya amerta j 20 medokan ayu rungkut 60295,3267,the dapoer 31,perumahan griya amerta j 20 medokan ayu rungkut city 60295,0.95,1
184,289,cap giling,pakis sidokumpul gang 3 11 pakis sawahan 60256,1996,prima green food bakery,medokan asri ma 3 b 11 medokan ayu medokan ayu rungkut 60295,0.071428571,0
122,434,elmara,gayungan 1b 7 gayungan gayungan 60235,3245,elmara catering ibu lusi,gayungan 1b 7 gayungan gayungan 60235,0.625,1
235,1083,sambal bu rini,apartemen sukolilo dian regency unit 1230 rt 009 rw 002 keputih sukolilo 60111,2562,warung nasi,pp4m h3h kutai rw 06 darmo wonokromo 60241,0.026315789,0
285,681,yoichi topgo knuts kuta boga,kalikepiting 111 kav 16 tambakrejo simokerto,1688,mafia tahu surabaya,dukuh kupang bar 16 15 dukuh kupang dukuhpakis 60225,0.041666667,0
292,176,mbok tini,bua setro 1 25 rt rw bulak bulak,3113,a w,tunjungan plaza 1 jenderal basuki rachmat 8 12 kedungdoro tegalsari 60261,0.029411765,0
69,767,kuweh surabaya,menur 38 60286,3231,kuweh surabaya,raya menur 38 airlangga gubeng 60286,0.75,1
27,1394,mixue ice cream tea dharmahusada,dharmahusada 121 c mojo gubeng 60285,3312,mixue ice cream tea dharmahusada,dharmahusada 121 c mojo gubeng 60285,1.0,1
90,147,asmara spikoe,kalilom lor timur 1b 5 60129,3213,asmara spikoe,kalilom lor timur gg ib 5 tanah kali kedinding kenjeran 60129,0.708333333,1
308,1062,risolive,rungkut harapan j 45 60293,2634,warung sae,gg besar sel 45 bendul merisi wonocolo 60238,0.041666667,0
14,1248,kopi kenangan ciputra world surabaya,ciputra world lg mayjen sungkono 89 gn sari dukuhpakis 60224,3069,kopi kenangan ciputra world surabaya,ciputra world lg mayjen sungkono 89 gn sari dukuhpakis 60224,1.0,1
261,348,dapur fafa,jojoran baru 3 dalam 34 rt rw mojo gubeng,1927,faria catering,koblen tengah 20 a rw 05 bubutan bubutan 60174,0.03125,0
273,116,al aqoh snacks and drinks,gunungsari 58 rt 04 rw 07 sawunggaling wonokromo 60242,2899,depot murah meriah,jagir wonokromo 122 jagir wonokromo 60244,0.041666667,0
265,705,ziyana walidah,teknik kantin pusat kmpus its keputih sukolilo,2030,chubby pusat grosir surabaya,pusat grosir dupak 4 gundih bubutan 60127,0.038461538,0
242,1374,gokana ramen teppan delta plaza,plaza pemuda 33 37 embong kaliasin genteng 60271,1487,marugame udon tunjungan plaza,tunjungan plaza 3 basuki rahmat 8 12 kedungdoro tegalsari 60261,0.091911765,0
189,420,dede satoe,tenggilis timur 6 dd1 tenggilis mejoyo tenggilis mejoyo 60292,1533,mie ayam bu tinuk,kencanasari timur 15 gn sari wonokromo 60224,0.041666667,0
50,1018,pizza haq,kendangsari b 10 kendangsari tenggilis mejoyo,3117,pizza haq,kendangsari ykp b 10 kendangsari tenggilis mejoyo 60292,0.857142857,1
305,364,dapur nala,pakis gunung gang 1 40 pakis sawahan,2031,coffee toffee taman apsari,taman apsari st 1 embong kaliasin genteng city 60271,0.035714286,0
216,1383,mixue ice cream tea karimun jawa,karimun jawa 5b gubeng gubeng 60281,1976,katering dapur brilliant,simo gn bar tol 2a 152 simomulyo sukomanunggal 60281,0.038461538,0
255,228,bolugiyo,tengger kandangan timur 1 a 20 rt 005 rw 003 kandangan benowo 60198,3316,mixue ice cream tea semolowaru,nginden semolo 20 nginden jangkungan sukolilo 60118,0.029411765,0
269,1067,roso omahan,genteng sidomukti 68 rt rw genteng genteng,2817,wisata kuliner embong blimbing surabaya,embong blimbing embong kaliasin genteng 60262,0.055555556,0
165,309,cireng planet,gubeng jaya sr 12 rt rw gubeng gubeng,1736,idaman chinese and indonesian restaurant,manyar kertoarjo 5 65 rt 007 rw 11 mojo gubeng 60285,0.107142857,0
209,764,kuelin,kapasari 1 18 g kapasari genteng,2842,puri iwake,plaza pemuda 33 37 embong kaliasin genteng 60271,0.041666667,0
211,358,dapur mak razka,putat jaya c barat 4 buntu 6b putat jaya sawahan 60255,2720,warung cak tu in,putat gede bar 2 putat gede sukomanunggal 60226,0.035714286,0
112,1349,solaria plaza surabaya,plaza solaria delta pemuda embong kaliasin genteng 60271,2904,solaria,plaza solaria delta pemuda embong kaliasin genteng 60271,0.666666667,1
