id,left_id,left_nama,left_alamat,right_id,right_nama,right_alamat,jaccard,label
0,1411,mixue ice cream tea lontar,raya lontar 309 lontar sambikerep 60216,3292,mixue ice cream tea lontar,raya lontar 309 lontar sambikerep 60216,1,1
1,186,bandeng juwana,ngagel jaya utara 103 1 baratajaya gubeng 60284,3222,bandeng juwana,ngagel jaya utara 103 1 baratajaya gubeng 60284,1,1
2,1409,mixue ice cream tea petemon,petemon bar 127 rt 001 rw 02 kupang krajan sawahan 60253,3296,mixue ice cream tea petemon,petemon bar 127 rt 001 rw 02 kupang krajan sawahan 60253,1,1
3,1399,mixue ice cream tea bratang,bratang gede 138 ngagelrejo wonokromo 60245,3306,mixue ice cream tea bratang,bratang gede 138 ngagelrejo wonokromo 60245,1,1
4,1187,spikoe resep kuno,rungkut madya 41 rungkut kidul rungkut 60293,3252,spikoe resep kuno,rungkut madya 41 rungkut kidul rungkut 60293,1,1
5,1383,mixue ice cream tea karimun jawa,karimun jawa 5b gubeng gubeng 60281,3323,mixue ice cream tea karimun jawa,karimun jawa 5b gubeng gubeng 60281,1,1
6,1393,mixue ice cream tea pandegiling,pandegiling 117 a dr soetomo tegalsari 60264,3313,mixue ice cream tea pandegiling,pandegiling 117 a dr soetomo tegalsari 60264,1,1
7,1386,mixue ice cream tea karang menjangan,karang menjangan 117c mojo gubeng 60286,3320,mixue ice cream tea karang menjangan,karang menjangan 117c mojo gubeng 60286,1,1
8,1408,mixue ice cream tea dukuh kupang,dukuh kupang xxv 49 dukuh kupang dukuhpakis 60225,3297,mixue ice cream tea dukuh kupang,dukuh kupang xxv 49 dukuh kupang dukuhpakis 60225,1,1
9,1396,mixue ice cream tea sukomanunggal,sukomanunggal b 254 tanjungsari sukomanunggal 60187,3309,mixue ice cream tea sukomanunggal,sukomanunggal b 254 tanjungsari sukomanunggal 60187,1,1
10,1358,bakso boedjangan manyar surabaya,raya manyar 85 menur pumpungan sukolilo 60118,3099,bakso boedjangan manyar surabaya,raya manyar 85 menur pumpungan sukolilo 60118,1,1
