id,left_id,left_nama,left_alamat,right_id,right_nama,right_alamat,jaccard,label
507,1264,teman ngupi store,jemur wonosari gg modin 10d jemur wonosari wonocolo 60237,2335,passionne yarn store cafe,graha natura soho 2 ds 01 raya sambikerep lontar sambikerep city 60216,0.083333333,0
449,549,hos surabaya,manyar sabrangan gg 1 a 60116,2305,warung mbah cokro surabaya,raya prapen 6 panjang jiwo tenggilis mejoyo 60299,0.1,0
88,1418,mixue ice cream tea darmo permai,raya darmo permai 1 57a pradahkalikendal dukuhpakis 60226,3272,mixue damai darmo permai,raya darmo permai 1 57a pradahkalikendal dukuhpakis 60226,0.714285714,1
299,95,ahsanul bakery,buntaran rt rw manukan wetan tandes,2041,coffee places,kebalen kulon 2 11 rt 002 rw 06 krembangan utara pabean cantikan 60163,0.058823529,0
198,1234,violetta,kapasari 5 26 kapasari genteng,2210,warkop seduluran,sulawesi 26 rt 005 rw 04 ngagel wonokromo 60246,0.041666667,0
271,1122,semu,taman puspa raya b 5 10 citraland sambikerep sambikerep 60217,2208,thirty3brew jemursari,raya jemursari 167 kendangsari tenggilis mejoyo 60239,0.033333333,0
377,819,mamarey,keputih makam city home e3 18 keputih sukolilo,2004,otewekopi,taman apsari st 25 embong kaliasin genteng city 60271,0.033333333,0
120,1351,solaria grand city surabaya,grand city mall kusuma bangsa ketabang genteng 60272,3175,solaria,grand city mall kusuma bangsa ketabang genteng 60272,0.625,1
416,1063,rizky kitchen,bratang gede 4 9 rt rw ngagel rejo wonokromo,3296,mixue ice cream tea petemon,petemon bar 127 rt 001 rw 02 kupang krajan sawahan 60253,0.055555556,0
518,1317,ikan mas putra kencana tetes murni,gunungsari indah aa 10 kedurus karangpilang 60223,1624,djaman doeloe resto bar,pakuwon mall puncak indah raya lontar 2 babatan wiyung 60216,0.03125,0
7,1386,mixue ice cream tea karang menjangan,karang menjangan 117c mojo gubeng 60286,3320,mixue ice cream tea karang menjangan,karang menjangan 117c mojo gubeng 60286,1.0,1
541,1222,tahu nigarin,medokan ayu ma 3 h 18 medokan ayu rungkut 60295,2635,warung barokah,ketintang baru sel 1 3 ketintang 60235,0.038461538,0
14,1248,kopi kenangan ciputra world surabaya,ciputra world lg mayjen sungkono 89 gn sari dukuhpakis 60224,3069,kopi kenangan ciputra world surabaya,ciputra world lg mayjen sungkono 89 gn sari dukuhpakis 60224,1.0,1
44,1359,burger king basuki rahmat surabaya,pert darmo park 1 bl 4 b 3 60256 embong kaliasin genteng 60271,3096,burger king basuki rahmat,pert darmo park 1 bl 4 b 3 60256 embong kaliasin genteng 60271,0.9,1
32,1362,cfc grand city mall surabaya,grand city ketabang genteng 60272,2890,cfc grand city mall surabaya,grand city ketabang genteng 60272,1.0,1
